Breakouts: KING COUNTY MAP AREAS,Northwest Multiple Listing Service - SEPTEMBER 2019,,,,,,,,,,,,,,
RES ONLY,LISTINGS,PENDING SALES,CLOSED SALES,,,,,,,,,,,,
Map Area,"NewSep 2019","NewSep 2018","Ttl ActiveSep 2019","Ttl ActiveSep 2018","% Change,Ttl Active","PendingSep 2019","PendingSep 2018","% Change,Pending","ClosedSep 2019","ClosedSep 2018","% change,Closed","Median $,Sep 2019","Median $,Sep 2018","% Chg,Median Price","Months ofInventory"
100,42,55,60,129,-53.49%,69,46,50.00%,46,30,53.33%,"$423,500","$405,450",4.45%,1.30
110,91,117,104,190,-45.26%,107,122,-12.30%,96,78,23.08%,"$430,250","$395,000",8.92%,1.08
120,57,51,79,100,-21.00%,54,53,1.89%,39,35,11.43%,"$418,000","$405,000",3.21%,2.03
130,126,141,200,240,-16.67%,126,103,22.33%,95,88,7.95%,"$481,000","$422,500",13.85%,2.11
SW King,316,364,443,659,-32.78%,356,324,9.88%,276,231,19.48%,"$436,750","$405,000",7.84%,1.61
300,37,49,70,104,-32.69%,48,47,2.13%,42,23,82.61%,"$422,000","$369,950",14.07%,1.67
310,87,106,113,179,-36.87%,100,114,-12.28%,74,87,-14.94%,"$417,500","$380,000",9.87%,1.53
320,122,124,211,283,-25.44%,133,106,25.47%,95,96,-1.04%,"$469,500","$471,250",-0.37%,2.22
330,101,142,147,251,-41.43%,117,110,6.36%,102,98,4.08%,"$456,000","$455,000",0.22%,1.44
340,97,112,120,207,-42.03%,105,72,45.83%,82,75,9.33%,"$500,000","$505,000",-0.99%,1.46
350,108,104,160,177,-9.60%,106,81,30.86%,71,58,22.41%,"$528,500","$508,000",4.04%,2.25
360,39,29,65,76,-14.47%,20,17,17.65%,25,20,25.00%,"$475,000","$464,000",2.37%,2.60
SE King,591,666,886,"1,277",-30.62%,629,547,14.99%,491,457,7.44%,"$468,550","$455,000",2.98%,1.80
140,158,238,265,310,-14.52%,144,142,1.41%,108,108,0.00%,"$622,500","$677,500",-8.12%,2.45
380,71,103,121,134,-9.70%,67,46,45.65%,45,43,4.65%,"$619,000","$622,000",-0.48%,2.69
385,47,61,84,86,-2.33%,49,36,36.11%,20,36,-44.44%,"$554,500","$590,000",-6.02%,4.20
390,123,137,170,176,-3.41%,89,65,36.92%,75,53,41.51%,"$910,000","$850,000",7.06%,2.27
700,111,112,138,160,-13.75%,69,51,35.29%,61,39,56.41%,"$900,000","$1,075,000",-16.28%,2.26
701,0,1,0,1,-100.00%,1,0,0.00%,0,0,0.00%,$0,$0,0.00%,N/A
705,299,307,312,299,4.35%,219,190,15.26%,164,126,30.16%,"$750,000","$797,750",-5.99%,1.90
710,157,178,204,183,11.48%,110,108,1.85%,92,93,-1.08%,"$782,500","$865,000",-9.54%,2.22
Seattle,966,"1,137","1,294","1,349",-4.08%,748,638,17.24%,565,498,13.45%,"$750,000","$775,000",-3.23%,2.29
715,54,62,82,95,-13.68%,45,38,18.42%,35,33,6.06%,"$615,000","$650,000",-5.38%,2.34
720,49,55,77,95,-18.95%,48,44,9.09%,36,39,-7.69%,"$631,500","$599,000",5.43%,2.14
N. King,103,117,159,190,-16.32%,93,82,13.41%,71,72,-1.39%,"$630,000","$599,499",5.09%,2.24
500,109,132,181,250,-27.60%,87,78,11.54%,67,70,-4.29%,"$1,080,000","$937,500",15.20%,2.70
510,41,31,83,86,-3.49%,32,20,60.00%,26,13,100.00%,"$1,600,000","$1,720,000",-6.98%,3.19
520,70,50,123,116,6.03%,41,30,36.67%,29,20,45.00%,"$2,150,000","$3,299,000",-34.83%,4.24
530,63,102,77,118,-34.75%,61,59,3.39%,61,51,19.61%,"$945,000","$871,060",8.49%,1.26
540,174,236,365,457,-20.13%,184,165,11.52%,157,161,-2.48%,"$902,380","$880,000",2.54%,2.32
550,79,87,124,141,-12.06%,55,69,-20.29%,41,51,-19.61%,"$850,000","$805,000",5.59%,3.02
560,92,100,137,127,7.87%,73,64,14.06%,38,54,-29.63%,"$1,057,500","$1,175,000",-10.00%,3.61
600,179,237,266,395,-32.66%,163,157,3.82%,135,149,-9.40%,"$775,000","$774,950",0.01%,1.97
Eastside,807,975,"1,356","1,690",-19.76%,696,642,8.41%,554,569,-2.64%,"$928,500","$890,000",4.33%,2.45
800 Vashon,16,21,39,48,-18.75%,23,11,109.09%,17,6,183.33%,"$565,000","$783,500",-27.89%,2.29
ALL King Co,"2,799","3,280","4,177","5,213",-19.87%,"2,545","2,244",13.41%,"1,974","1,833",7.69%,"$660,000","$668,000",-1.20%,2.12
